"측정일자","측정시간","지역","지역명","도로명","시작점","종점","기온","습도","재비산먼지 평균농도","오염범례"
"2025-10-01","15:00","경기","오산시","수목원로","경기도 오산시 탑동 88-6도","경기도 오산시 세교동 628도","26","58","13","매우좋음"
"2025-10-01","14:53","경기","오산시","궐리사로","경기도 오산시 궐동 715 도","경기도 오산시 궐동 711 도","27","55","5","매우좋음"
"2025-10-01","14:36","경기","오산시","오산로","경기도 오산시 갈곶동 196-1도","경기도 오산시 수청동 111-12도","26","53","5","매우좋음"
"2025-10-01","14:15","경기","오산시","경기대로","경기도 오산시 세교동 160-11도","경기도 오산시 갈곶동 233도","26","55","6","매우좋음"
"2025-10-01","13:58","경기","오산시","수청로","경기도 오산시 수청동 604도","경기도 오산시 금암동 481구","26","58","11","매우좋음"
"2025-10-01","13:43","경기","오산시","내삼미로","경기도 오산시 내삼미동 902도","경기도 오산시 수청동 75도","26","60","9","매우좋음"
"2025-10-01","13:30","경기","오산시","오산대역로","경기도 오산시 금암동 298도","경기도 오산시 내삼미동 902도","26","58","5","매우좋음"
"2025-10-01","13:17","경기","오산시","문시로","경기도 오산시 외삼미동 산 32-2도","경기도 오산시 외삼미동 638도","26","61","5","매우좋음"
"2025-10-01","13:04","경기","오산시","북삼미로","경기도 오산시 내삼미동 902도","경기도 오산시 외삼미동 138-1도","25","62","14","매우좋음"
"2025-10-01","12:55","경기","오산시","청학로","경기도 오산시 가수동 289-12 도","경기도 오산시 내삼미동 901도","26","63","10","매우좋음"
"2025-10-01","12:44","경기","오산시","경기동로","경기도 오산시 부산동 1-2 도","경기도 오산시 오산동 62-2도","26","61","11","매우좋음"
"2025-10-01","12:29","경기","오산시","운암로","경기도 오산시 원동 819도","경기도 오산시 오산동 926도","24","67","8","매우좋음"
"2025-10-01","12:17","경기","오산시","성호대로","경기도 오산시 가수동 289-12 도","경기도 오산시 부산동 736답","25","64","24","매우좋음"
"2025-10-01","12:08","경기","오산시","가장로","경기도 오산시 가장동 산 70-2도","경기도 오산시 가수동 289-12 도","25","66","14","매우좋음"
"2025-10-01","11:40","경기","오산시","남부대로","경기도 오산시 고현동 194도","경기도 오산시 벌음동 138-2도","25","67","9","매우좋음"
"2025-10-01","11:17","경기","오산시","동부대로","경기도 오산시 부산동 209-5 도","경기도 오산시 갈곶동 398-4 구","24","68","12","매우좋음"
"2025-10-01","14:27","서울","은평구","백련산로","서울특별시 은평구 응암동 84-14도","서울특별시 은평구 응암동 691도","26","50","5","매우좋음"
"2025-10-01","13:48","서울","은평구","진흥로","서울특별시 은평구 역촌동 85-42도","서울특별시 은평구 불광동 산42-1임","27","50","9","매우좋음"
"2025-10-01","13:23","서울","은평구","서오릉로","서울특별시 은평구 응암동 82-31도","서울특별시 은평구 구산동 산 131-18 임","27","50","4","매우좋음"
"2025-10-01","13:08","서울","은평구","응암로","서울특별시 은평구 응암동 604-8도","서울특별시 은평구 역촌동 17-55천","26","55","9","매우좋음"
"2025-10-01","12:47","서울","은평구","가좌로","서울특별시 은평구 신사동 산48-7 임","서울특별시 은평구 응암동 691도","26","56","4","매우좋음"
"2025-10-01","12:36","서울","은평구","은평로","서울특별시 은평구 녹번동 55도","서울특별시 은평구 신사동 41-3도","26","55","2","매우좋음"
"2025-10-01","12:16","서울","은평구","통일로","서울특별시 은평구 진관동 75-1도","서울특별시 은평구 응암동 32-1도","25","56","3","매우좋음"
"2025-10-01","11:02","서울","은평구","진관1로","서울특별시 은평구 진관동 234-30도","서울특별시 은평구 진관동 159-9답","23","69","9","매우좋음"
"2025-10-01","10:38","서울","은평구","북한산로","서울특별시 은평구 진관동 288-3천","서울특별시 은평구 진관동 72-4도","23","69","9","매우좋음"
"2025-10-01","10:16","서울","은평구","연서로","서울특별시 은평구 역촌동 85-42도","서울특별시 은평구 진관동 2-23도","23","67","21","매우좋음"
"2025-10-01","10:07","서울","은평구","증산로","서울특별시 은평구 수색동 46-40철","서울특별시 은평구 신사동 22-15도","23","68","4","매우좋음"
"2025-10-01","09:55","서울","은평구","수색로","서울특별시 은평구 수색동 293-61구","서울특별시 은평구 증산동 239도","24","68","6","매우좋음"
"2025-10-01","14:41","서울","노원구","화랑로","서울특별시 노원구 월계동 42-9도","서울특별시 노원구 공릉동 26-93 도","27","55","4","매우좋음"
"2025-10-01","14:33","서울","노원구","마들로","서울특별시 노원구 월계동 671-16천","서울특별시 노원구 월계동 19도","26","57","9","매우좋음"
"2025-10-01","14:10","서울","노원구","중계로","서울특별시 노원구 중계동 370도","서울특별시 노원구 하계동 산34-8도","25","57","6","매우좋음"
"2025-10-01","14:01","서울","노원구","노해로","서울특별시 노원구 상계동 791-1천","서울특별시 노원구 상계동 719도","26","55","7","매우좋음"
"2025-10-01","12:59","서울","노원구","상계로","서울특별시 노원구 상계동 66답","서울특별시 노원구 상계동 739-4도","26","56","33","매우좋음"
"2025-10-01","12:41","서울","노원구","덕릉로","서울특별시 노원구 상계동 770-1천","서울특별시 노원구 상계동 산156-6도","25","57","24","매우좋음"
"2025-10-01","12:32","서울","노원구","공릉로","서울특별시 노원구 공릉동 656-2도","서울특별시 노원구 중계동 514-6도","25","59","4","매우좋음"
"2025-10-01","12:02","서울","노원구","노원로","서울특별시 노원구 상계동","서울특별시 노원구 공릉동 70-2도","25","61","2","매우좋음"
"2025-10-01","11:36","서울","노원구","한글비석로","서울특별시 노원구 하계동 354-9도","서울특별시 노원구 상계동 699도","24","63","12","매우좋음"
"2025-10-01","11:31","서울","노원구","월계로","서울특별시 노원구 월계동 875-6천","서울특별시 노원구 하계동 312-11천","25","62","2","매우좋음"
"2025-10-01","11:14","서울","노원구","초안산로","서울특별시 노원구 월계동 620-3도","서울특별시 노원구 월계동 산63-7수","25","62","3","매우좋음"
"2025-10-01","10:42","서울","노원구","섬밭로","서울특별시 노원구 공릉동 704-5도","서울특별시 노원구 중계동 500-1도","23","70","2","매우좋음"
"2025-10-01","10:03","서울","노원구","동일로","서울특별시 노원구 상계동 1200-3도","서울특별시 노원구 공릉동 678-7도","23","70","3","매우좋음"
"2025-10-01","14:51","경기","군포시","엘에스로","경기도 안양시동안구 호계동 1020-1도","경기도 군포시 산본동 1037 도","26","52","12","매우좋음"
"2025-10-01","14:38","경기","군포시","공단로","경기도 군포시 당정동 908-10천","경기도 군포시 산본동 1037 도","26","52","11","매우좋음"
"2025-10-01","14:20","경기","군포시","광정로","경기도 군포시 산본동 1223도","경기도 군포시 금정동 897도","26","53","9","매우좋음"
"2025-10-01","14:01","경기","군포시","산본천로","경기도 군포시 산본동 1228도","경기도 군포시 산본동 52도","26","54","9","매우좋음"
"2025-10-01","13:52","경기","군포시","금당로","경기도 군포시 금정동 891도","경기도 군포시 당동 산44-9도","25","56","13","매우좋음"
"2025-10-01","13:46","경기","군포시","오금로","경기도 군포시 금정동 902도","경기도 군포시 금정동 891도","25","55","10","매우좋음"
"2025-10-01","13:39","경기","군포시","번영로","경기도 군포시 금정동 820도","경기도 군포시 부곡동 1165 도","25","54","9","매우좋음"
"2025-10-01","13:32","경기","군포시","금산로","경기도 군포시 산본동 300 도","경기도 군포시 금정동 810도","26","54","11","매우좋음"
"2025-10-01","13:13","경기","군포시","산본로","경기도 군포시 당정동 907-5도","경기도 군포시 산본동 1057도","25","56","13","매우좋음"
"2025-10-01","12:27","경기","군포시","공단로140번길","경기도 군포시 당정동 174-13 장","경기도 군포시 당동 23-2 천","24","60","13","매우좋음"
"2025-10-01","12:06","경기","군포시","고산로","경기도 군포시 산본동 1037 도","경기도 군포시 당정동 383-9대","25","62","13","매우좋음"
"2025-10-01","11:52","경기","군포시","군포로","경기도 군포시 대야미동 607-16도","경기도 군포시 산본동 52도","25","62","11","매우좋음"
"2025-10-01","11:46","경기","군포시","삼성로","경기도 군포시 부곡동 1206도","경기도 군포시 당동 628-1도","24","65","11","매우좋음"
"2025-10-01","11:29","경기","군포시","호수로","경기도 군포시 둔대동 산109-3 임","경기도 군포시 대야미동 10-1도","24","65","215","매우나쁨"
"2025-10-01","11:10","경기","군포시","송부로","경기도 군포시 부곡동 1145-1 도","경기도 군포시 도마교동 200-5도","23","69","21","매우좋음"
"2025-10-01","14:54","경기","이천시","애련정로","경기도 이천시 안흥동 172-1 도","경기도 이천시 증포동 157-9 도","24","71","9","매우좋음"
"2025-10-01","14:24","경기","이천시","구만리로","경기도 이천시 부발읍 마암리 446 도","경기도 이천시 증일동 89-9 도","23","73","14","매우좋음"
"2025-10-01","14:02","경기","이천시","증신로","경기도 이천시 신둔면 도암리 352-12 도","경기도 이천시 안흥동 159 도","23","75","41","매우좋음"
"2025-10-01","13:53","경기","이천시","남정로","경기도 이천시 신둔면 수광리 716 도","경기도 이천시 신둔면 남정리 산14-3 도","22","78","10","매우좋음"
"2025-10-01","13:34","경기","이천시","프리미엄아울렛로","경기도 이천시 호법면 단천리 711 천","경기도 이천시 마장면 표교리 542 답","21","80","10","매우좋음"
"2025-10-01","13:11","경기","이천시","이섭대천로","경기도 이천시 증포동 14-2 도","경기도 이천시 호법면 매곡리 558-2 도","21","81","10","매우좋음"
"2025-10-01","12:54","경기","이천시","경충대로","경기도 이천시 장호원읍 진암리 703 도","경기도 이천시 신둔면 수광리 산 63 도","21","83","7","매우좋음"
"2025-10-01","12:27","경기","이천시","서동대로","경기도 이천시 설성면 행죽리 662-5 구","경기도 이천시 장호원읍 장호원리 357 천","20","83","2","매우좋음"
"2025-10-02","12:43","인천","부평구","경원대로","인천광역시 부평구 십정동 542-27구","인천광역시 부평구 부평동 224-1도","26","62","5","매우좋음"
"2025-10-02","12:29","인천","부평구","백범로","인천광역시 부평구 십정동 526-7도","인천광역시 부평구 십정동 335도","27","61","10","매우좋음"
"2025-10-02","12:24","인천","부평구","열우물로","인천광역시 부평구 십정동 335도","인천광역시 부평구 십정동 531-3도","26","62","6","매우좋음"
"2025-10-02","11:31","인천","부평구","아트센터로","인천광역시 부평구 십정동 546-3도","인천광역시 부평구 십정동 186-544도","25","61","3","매우좋음"
"2025-10-02","11:15","인천","부평구","부영로","인천광역시 부평구 산곡동 281-30도","인천광역시 부평구 부평동 686도","25","62","6","매우좋음"
"2025-10-02","10:57","인천","부평구","안남로","인천광역시 부평구 청천동 372도","인천광역시 부평구 부평동 686도","25","61","4","매우좋음"
"2025-10-02","10:40","인천","부평구","마장로","인천광역시 부평구 십정동 596도","인천광역시 부평구 청천동 372도","24","65","6","매우좋음"
"2025-10-02","10:27","인천","부평구","경인로","인천광역시 부평구 구산동 12-7도","인천광역시 부평구 십정동 592도","24","66","6","매우좋음"
"2025-10-02","10:13","인천","부평구","무네미로","인천광역시 부평구 구산동 12-7도","인천광역시 부평구 구산동 346-2 도","23","73","12","매우좋음"
